Email,Empresa,Website,Industria,Tipo,Descripción,Estado,País,Fuente,Fecha
dbrenes@jesancr.com,Distribuidora LaBode,https://www.facebook.com/labodesancarlos,logística,pyme,Empresa familiar distribuidora de carga y flete con operaciones en San Carlos y zonas aledañas de Co,NEW,CR,serper_search,2026-03-23 02:28
contrataciones@coycasacr.com,Distribuidora Goyca S.A.,http://www.facebook.com/DistribuidoraGoyca,manufactura,corporacion,Empresa costarricense dedicada a la producción y comercialización de productos de limpieza. Cuenta c,NEW,CR,serper_search,2026-03-23 02:28
agenteventas2@goycasa.com,Distribuidora Goyca S.A.,http://www.facebook.com/DistribuidoraGoyca,manufactura,corporacion,Empresa costarricense dedicada a la producción y comercialización de productos de limpieza. Cuenta c,NEW,CR,serper_search,2026-03-23 02:28
info@distcaribe.com,Dist Caribe,http://www.distcaribe.com/,manufactura,corporacion,Empresa distribuidora de productos químicos e ingredientes para múltiples sectores incluyendo agroin,NEW,CR,serper_search,2026-03-23 02:27
notificaciones.judiciales@icbf.gov,ICBF (Instituto Colombiano de Bienestar Familiar),https://www.icbf.gov.co/portafolio-de-servicios-icbf/centro-de-desarrollo-infantil,gobierno,gobierno,Institución gubernamental colombiana dedicada al bienestar infantil y familiar. Proporciona servicio,NEW,CR,serper_search,2026-03-23 02:26
atencionalciudadano@icbf.gov,ICBF (Instituto Colombiano de Bienestar Familiar),https://www.icbf.gov.co/portafolio-de-servicios-icbf/centro-de-desarrollo-infantil,gobierno,gobierno,Institución gubernamental colombiana dedicada al bienestar infantil y familiar. Proporciona servicio,NEW,CR,serper_search,2026-03-23 02:26
gp_consultapublica@ccss.sa.cr,CCSS (Caja Costarricense de Seguro Social),http://www.ccss.sa.cr/,salud,gobierno,"Institución estatal costarricense que administra el seguro social y proporciona servicios de salud, ",NEW,CR,serper_search,2026-03-23 02:26
coinccss@ccss.sa.cr,CCSS (Caja Costarricense de Seguro Social),http://www.ccss.sa.cr/,salud,gobierno,"Institución estatal costarricense que administra el seguro social y proporciona servicios de salud, ",NEW,CR,serper_search,2026-03-23 02:26
angelitosdeoro2025@gmail.com,Angelitos de Oro Desamparados Educativo Guardería,https://www.facebook.com/profile.php?id=61562038736015,salud,pyme,"Centro infantil de cuidado y desarrollo de niños ubicado en Desamparados, Costa Rica. Ofrece servici",NEW,CR,serper_search,2026-03-23 02:25
greenplace.cr@gmail.com,Green Place Preschool and Day Care,https://m.facebook.com/GreenPlaceCR,educación,pyme,Centro de atención profesional infantil a partir de 3 meses. Ofrece educación y cuidado en un espaci,NEW,CR,serper_search,2026-03-23 02:25
info@montessoricostarica.com,Montessori Costa Rica / Montessori Learning Center,http://www.montessori.cr/,educación,otro,"Centro educativo que implementa la filosofía Montessori para niños en etapas de Nido, Comunidad Infa",NEW,CR,serper_search,2026-03-23 02:25
